id,wrote,label
Clement_T._Yu,paper1,Clement T. Yu
Danilo_Montesi,paper1,Danilo Montesi
Asit_Dan,paper2,Asit Dan
Erol_Gelenbe,paper2,Erol Gelenbe
Bharathi_Subramanian,paper3,Bharathi Subramanian
Silvana_Castano,paper3,Silvana Castano
Albert_Croker,paper4,Albert Croker
Silvana_Castano,paper5,Silvana Castano
Joachim_Schü,paper6,Joachim Schü
Erol_Gelenbe,paper7,Erol Gelenbe
Clement_T._Yu,paper8,Clement T. Yu
Yang-Chang_Hong,paper8,Yang-Chang Hong
Yang-Chang_Hong,paper9,Yang-Chang Hong
Jonathan_P._Gilbert,paper9,Jonathan P. Gilbert
Yang-Chang_Hong,paper10,Yang-Chang Hong
Jonathan_P._Gilbert,paper10,Jonathan P. Gilbert
Daniel_Barbará,paper11,Daniel Barbará
Stanley_B._Zdonik,paper11,Stanley B. Zdonik
David_Farmer,paper11,David Farmer
Antoni_Wolski,paper12,Antoni Wolski
Lijuan_Li,paper12,Lijuan Li
Silvana_Castano,paper12,Silvana Castano
Hector_Garcia-Molina,paper13,Hector Garcia-Molina
Christian_S._Jensen,paper13,Christian S. Jensen
Erol_Gelenbe,paper13,Erol Gelenbe
Doron_Rotem,paper14,Doron Rotem
Doron_Rotem,paper14,Doron Rotem
Erol_Gelenbe,paper14,Erol Gelenbe
Christine_Parent,paper15,Christine Parent
David_Farmer,paper15,David Farmer
Algirdas_Avizienis,paper15,Algirdas Avizienis
Masao_Sakauchi,paper16,Masao Sakauchi
Douglas_W._Cornell,paper17,Douglas W. Cornell
Masao_Sakauchi,paper17,Masao Sakauchi
Michael_Stonebraker,paper18,Michael Stonebraker
H._V._Jagadish,paper18,H. V. Jagadish
Stanley_B._Zdonik,paper18,Stanley B. Zdonik
Jonathan_P._Gilbert,paper19,Jonathan P. Gilbert
Christian_S._Jensen,paper20,Christian S. Jensen
Herman_Lam,paper20,Herman Lam
Rafael_Alonso,paper20,Rafael Alonso
Albert_Croker,paper21,Albert Croker
Jonathan_P._Gilbert,paper22,Jonathan P. Gilbert
Doron_Rotem,paper23,Doron Rotem
H._V._Jagadish,paper23,H. V. Jagadish
Arun_N._Swami,paper23,Arun N. Swami
Lijuan_Li,paper24,Lijuan Li
George_P._Copeland,paper24,George P. Copeland
Jeffrey_Scott_Vitter,paper24,Jeffrey Scott Vitter
Arun_N._Swami,paper25,Arun N. Swami
Yang-Chang_Hong,paper26,Yang-Chang Hong
Rodney_P._Zimmerman,paper26,Rodney P. Zimmerman
George_P._Copeland,paper26,George P. Copeland
Joachim_Schü,paper27,Joachim Schü
Arun_N._Swami,paper27,Arun N. Swami
Alle_IJbema,paper28,Alle IJbema
Douglas_W._Cornell,paper28,Douglas W. Cornell
H._V._Jagadish,paper28,H. V. Jagadish
Christine_Parent,paper29,Christine Parent
Rafael_Alonso,paper29,Rafael Alonso
Mohan_Kamath,paper29,Mohan Kamath
Lijuan_Li,paper30,Lijuan Li
Jeffrey_Scott_Vitter,paper31,Jeffrey Scott Vitter
Christian_S._Jensen,paper31,Christian S. Jensen
Michael_Stonebraker,paper32,Michael Stonebraker
A._Moon,paper32,A. Moon
Stanley_B._Zdonik,paper32,Stanley B. Zdonik
Jack_Milton,paper33,Jack Milton
Rafael_Alonso,paper34,Rafael Alonso
Doron_Rotem,paper35,Doron Rotem
Li-Yan_Yuan,paper35,Li-Yan Yuan
Bharathi_Subramanian,paper35,Bharathi Subramanian
Lijuan_Li,paper36,Lijuan Li
Yang-Chang_Hong,paper36,Yang-Chang Hong
Jeffrey_Scott_Vitter,paper36,Jeffrey Scott Vitter
H._V._Jagadish,paper37,H. V. Jagadish
Maurizio_Lenzerini,paper38,Maurizio Lenzerini
Valeria_De_Antonellis,paper39,Valeria De Antonellis
Herman_Lam,paper39,Herman Lam
Doron_Rotem,paper39,Doron Rotem
Daniel_F._Lieuwen,paper40,Daniel F. Lieuwen
George_P._Copeland,paper41,George P. Copeland
Silvana_Castano,paper41,Silvana Castano
Lijuan_Li,paper41,Lijuan Li
A._Moon,paper42,A. Moon
H._C._Du,paper42,H. C. Du
Ming-Chien_Shan,paper42,Ming-Chien Shan
Asit_Dan,paper43,Asit Dan
Christian_S._Jensen,paper43,Christian S. Jensen
Lijuan_Li,paper44,Lijuan Li
Lijuan_Li,paper44,Lijuan Li
Christian_S._Jensen,paper44,Christian S. Jensen
Hector_Garcia-Molina,paper45,Hector Garcia-Molina
David_Farmer,paper45,David Farmer
George_P._Copeland,paper46,George P. Copeland
Herman_Lam,paper47,Herman Lam
Rafael_Alonso,paper47,Rafael Alonso
A._Moon,paper47,A. Moon
Clement_T._Yu,paper48,Clement T. Yu
Douglas_W._Cornell,paper48,Douglas W. Cornell
Silvana_Castano,paper49,Silvana Castano
Krithi_Ramamritham,paper50,Krithi Ramamritham
Christian_S._Jensen,paper50,Christian S. Jensen
David_Farmer,paper50,David Farmer
Masao_Sakauchi,paper51,Masao Sakauchi
Albert_Croker,paper51,Albert Croker
Bharathi_Subramanian,paper52,Bharathi Subramanian
Kwang-I_Yu,paper52,Kwang-I Yu
Stanley_B._Zdonik,paper52,Stanley B. Zdonik
H._V._Jagadish,paper53,H. V. Jagadish
Arnon_Rosenthal,paper54,Arnon Rosenthal
Erol_Gelenbe,paper55,Erol Gelenbe
Rafael_Alonso,paper55,Rafael Alonso
Christine_Parent,paper55,Christine Parent
Jack_Milton,paper56,Jack Milton
Kelly_W._Cartron,paper56,Kelly W. Cartron
A._Moon,paper57,A. Moon
Doron_Rotem,paper57,Doron Rotem
Silvana_Castano,paper57,Silvana Castano
Ajit_K._Patankar,paper58,Ajit K. Patankar
Michael_Stonebraker,paper59,Michael Stonebraker
Asit_Dan,paper59,Asit Dan
Algirdas_Avizienis,paper59,Algirdas Avizienis
Christian_S._Jensen,paper60,Christian S. Jensen
Krithi_Ramamritham,paper60,Krithi Ramamritham
Rafael_Alonso,paper60,Rafael Alonso
H._V._Jagadish,paper61,H. V. Jagadish
Masao_Sakauchi,paper62,Masao Sakauchi
Stanley_B._Zdonik,paper62,Stanley B. Zdonik
Rodney_P._Zimmerman,paper63,Rodney P. Zimmerman
Arun_N._Swami,paper63,Arun N. Swami
Masao_Sakauchi,paper64,Masao Sakauchi
Christine_Parent,paper65,Christine Parent
George_P._Copeland,paper65,George P. Copeland
Erol_Gelenbe,paper66,Erol Gelenbe
Masao_Sakauchi,paper67,Masao Sakauchi
Rafael_Alonso,paper67,Rafael Alonso
Yang-Chang_Hong,paper67,Yang-Chang Hong
Antoni_Wolski,paper68,Antoni Wolski
Rafael_Alonso,paper68,Rafael Alonso
Arun_N._Swami,paper68,Arun N. Swami
Silvana_Castano,paper69,Silvana Castano
Eric_N._Hanson,paper69,Eric N. Hanson
Arun_N._Swami,paper70,Arun N. Swami
George_P._Copeland,paper70,George P. Copeland
Algirdas_Avizienis,paper70,Algirdas Avizienis
Kelly_W._Cartron,paper71,Kelly W. Cartron
Rafael_Alonso,paper71,Rafael Alonso
Antoni_Wolski,paper71,Antoni Wolski
Rafael_Alonso,paper72,Rafael Alonso
David_Farmer,paper72,David Farmer
Clement_T._Yu,paper72,Clement T. Yu
Antoni_Wolski,paper73,Antoni Wolski
Yang-Chang_Hong,paper73,Yang-Chang Hong
Christine_Parent,paper74,Christine Parent
Daniel_F._Lieuwen,paper75,Daniel F. Lieuwen
Mohan_Kamath,paper76,Mohan Kamath
