id,review,label
Joseph_E._Urban,paper1,Joseph E. Urban
Bharathi_Subramanian,paper1,Bharathi Subramanian
H._V._Jagadish,paper1,H. V. Jagadish
Krithi_Ramamritham,paper2,Krithi Ramamritham
Stanley_B._Zdonik,paper2,Stanley B. Zdonik
Albert_Croker,paper2,Albert Croker
Lijuan_Li,paper3,Lijuan Li
Mimi_Kao,paper3,Mimi Kao
Christine_Parent,paper3,Christine Parent
Christine_Parent,paper4,Christine Parent
Christian_S._Jensen,paper4,Christian S. Jensen
Ming-Chien_Shan,paper5,Ming-Chien Shan
H._V._Jagadish,paper6,H. V. Jagadish
H._V._Jagadish,paper7,H. V. Jagadish
H._C._Du,paper8,H. C. Du
Li-Yan_Yuan,paper8,Li-Yan Yuan
Lijuan_Li,paper9,Lijuan Li
Stanley_B._Zdonik,paper9,Stanley B. Zdonik
Kelly_W._Cartron,paper10,Kelly W. Cartron
Yang-Chang_Hong,paper11,Yang-Chang Hong
Jack_Milton,paper11,Jack Milton
Jack_Milton,paper11,Jack Milton
Rafael_Alonso,paper12,Rafael Alonso
Arnon_Rosenthal,paper12,Arnon Rosenthal
Kwang-I_Yu,paper13,Kwang-I Yu
Jack_Milton,paper13,Jack Milton
Daniel_Barbará,paper14,Daniel Barbará
Douglas_W._Cornell,paper14,Douglas W. Cornell
Yang-Chang_Hong,paper15,Yang-Chang Hong
Hector_Garcia-Molina,paper15,Hector Garcia-Molina
Christian_S._Jensen,paper16,Christian S. Jensen
Ling_Liu_0001,paper16,Ling Liu 0001
Joseph_E._Urban,paper16,Joseph E. Urban
Yang-Chang_Hong,paper17,Yang-Chang Hong
Mohan_Kamath,paper17,Mohan Kamath
Antoni_Wolski,paper18,Antoni Wolski
Algirdas_Avizienis,paper18,Algirdas Avizienis
Joachim_Schü,paper18,Joachim Schü
Jonathan_P._Gilbert,paper19,Jonathan P. Gilbert
Jeffrey_Scott_Vitter,paper19,Jeffrey Scott Vitter
Joachim_Schü,paper20,Joachim Schü
Kelly_W._Cartron,paper20,Kelly W. Cartron
Antoni_Wolski,paper20,Antoni Wolski
Yang-Chang_Hong,paper21,Yang-Chang Hong
Douglas_W._Cornell,paper21,Douglas W. Cornell
Jonathan_P._Gilbert,paper21,Jonathan P. Gilbert
Masao_Sakauchi,paper22,Masao Sakauchi
Li-Yan_Yuan,paper23,Li-Yan Yuan
H._V._Jagadish,paper24,H. V. Jagadish
Maurizio_Lenzerini,paper25,Maurizio Lenzerini
Alle_IJbema,paper25,Alle IJbema
Joachim_Schü,paper25,Joachim Schü
A._Moon,paper26,A. Moon
H._C._Du,paper26,H. C. Du
Arnon_Rosenthal,paper27,Arnon Rosenthal
Christine_Parent,paper28,Christine Parent
Siu-Lun_Au,paper28,Siu-Lun Au
Rafael_Alonso,paper29,Rafael Alonso
Jack_Milton,paper30,Jack Milton
Rafael_Alonso,paper31,Rafael Alonso
Albert_Croker,paper31,Albert Croker
A._Moon,paper32,A. Moon
Li-Yan_Yuan,paper32,Li-Yan Yuan
Christine_Parent,paper33,Christine Parent
Li-Yan_Yuan,paper34,Li-Yan Yuan
Rafael_Alonso,paper35,Rafael Alonso
H._C._Du,paper35,H. C. Du
Siu-Lun_Au,paper35,Siu-Lun Au
Danilo_Montesi,paper36,Danilo Montesi
Kwang-I_Yu,paper37,Kwang-I Yu
A._Moon,paper37,A. Moon
Christine_Parent,paper38,Christine Parent
Asit_Dan,paper39,Asit Dan
Daniel_Barbará,paper39,Daniel Barbará
Ajit_K._Patankar,paper40,Ajit K. Patankar
Silvana_Castano,paper40,Silvana Castano
Daniel_Barbará,paper40,Daniel Barbará
Michael_Stonebraker,paper41,Michael Stonebraker
Albert_Croker,paper42,Albert Croker
Danilo_Montesi,paper42,Danilo Montesi
Kelly_W._Cartron,paper43,Kelly W. Cartron
Ming-Chien_Shan,paper44,Ming-Chien Shan
Rafael_Alonso,paper44,Rafael Alonso
Mimi_Kao,paper44,Mimi Kao
Ming-Chien_Shan,paper45,Ming-Chien Shan
Yang-Chang_Hong,paper46,Yang-Chang Hong
Kelly_W._Cartron,paper46,Kelly W. Cartron
Erol_Gelenbe,paper47,Erol Gelenbe
David_Farmer,paper48,David Farmer
Stanley_B._Zdonik,paper48,Stanley B. Zdonik
Arnon_Rosenthal,paper48,Arnon Rosenthal
Danilo_Montesi,paper49,Danilo Montesi
Erol_Gelenbe,paper49,Erol Gelenbe
Ajit_K._Patankar,paper50,Ajit K. Patankar
Silvana_Castano,paper50,Silvana Castano
Ming-Chien_Shan,paper51,Ming-Chien Shan
Algirdas_Avizienis,paper51,Algirdas Avizienis
Rodney_P._Zimmerman,paper51,Rodney P. Zimmerman
Rodney_P._Zimmerman,paper52,Rodney P. Zimmerman
Krithi_Ramamritham,paper52,Krithi Ramamritham
Arun_N._Swami,paper53,Arun N. Swami
Christine_Parent,paper53,Christine Parent
Danilo_Montesi,paper53,Danilo Montesi
Jack_Milton,paper54,Jack Milton
Danilo_Montesi,paper55,Danilo Montesi
Ming-Chien_Shan,paper55,Ming-Chien Shan
H._V._Jagadish,paper56,H. V. Jagadish
Lijuan_Li,paper57,Lijuan Li
Ling_Liu_0001,paper57,Ling Liu 0001
Douglas_W._Cornell,paper58,Douglas W. Cornell
Paula_Furtado,paper59,Paula Furtado
Algirdas_Avizienis,paper59,Algirdas Avizienis
Bharathi_Subramanian,paper60,Bharathi Subramanian
Ajit_K._Patankar,paper60,Ajit K. Patankar
Daniel_Barbará,paper60,Daniel Barbará
Rafael_Alonso,paper61,Rafael Alonso
Mohan_Kamath,paper62,Mohan Kamath
Jonathan_P._Gilbert,paper63,Jonathan P. Gilbert
Antoni_Wolski,paper64,Antoni Wolski
Ming-Chien_Shan,paper64,Ming-Chien Shan
Valeria_De_Antonellis,paper64,Valeria De Antonellis
Kelly_W._Cartron,paper65,Kelly W. Cartron
Bharathi_Subramanian,paper65,Bharathi Subramanian
Douglas_W._Cornell,paper65,Douglas W. Cornell
Stanley_B._Zdonik,paper66,Stanley B. Zdonik
Krithi_Ramamritham,paper66,Krithi Ramamritham
Maurizio_Lenzerini,paper67,Maurizio Lenzerini
Daniel_Barbará,paper67,Daniel Barbará
Danilo_Montesi,paper67,Danilo Montesi
Erol_Gelenbe,paper68,Erol Gelenbe
Rodney_P._Zimmerman,paper68,Rodney P. Zimmerman
Rafael_Alonso,paper69,Rafael Alonso
Danilo_Montesi,paper70,Danilo Montesi
Stanley_B._Zdonik,paper71,Stanley B. Zdonik
Albert_Croker,paper72,Albert Croker
Bharathi_Subramanian,paper72,Bharathi Subramanian
Doron_Rotem,paper72,Doron Rotem
Algirdas_Avizienis,paper73,Algirdas Avizienis
George_P._Copeland,paper74,George P. Copeland
Joachim_Schü,paper74,Joachim Schü
Doron_Rotem,paper74,Doron Rotem
Rafael_Alonso,paper75,Rafael Alonso
Masao_Sakauchi,paper75,Masao Sakauchi
Eric_N._Hanson,paper76,Eric N. Hanson
Bharathi_Subramanian,paper77,Bharathi Subramanian
Doron_Rotem,paper77,Doron Rotem
Yang-Chang_Hong,paper77,Yang-Chang Hong
Christian_S._Jensen,paper78,Christian S. Jensen
H._C._Du,paper78,H. C. Du
Joachim_Schü,paper78,Joachim Schü
Clement_T._Yu,paper79,Clement T. Yu
Li-Yan_Yuan,paper80,Li-Yan Yuan
