id,review,label
Yang-Chang_Hong,paper1,Yang-Chang Hong
Alle_IJbema,paper1,Alle IJbema
Christian_S._Jensen,paper2,Christian S. Jensen
Maurizio_Lenzerini,paper2,Maurizio Lenzerini
Mohan_Kamath,paper3,Mohan Kamath
Clement_T._Yu,paper3,Clement T. Yu
Silvana_Castano,paper3,Silvana Castano
Rodney_P._Zimmerman,paper4,Rodney P. Zimmerman
Hector_Garcia-Molina,paper4,Hector Garcia-Molina
Antoni_Wolski,paper5,Antoni Wolski
George_P._Copeland,paper5,George P. Copeland
Ming-Chien_Shan,paper6,Ming-Chien Shan
Siu-Lun_Au,paper6,Siu-Lun Au
Kelly_W._Cartron,paper7,Kelly W. Cartron
Krithi_Ramamritham,paper8,Krithi Ramamritham
Erol_Gelenbe,paper9,Erol Gelenbe
Rafael_Alonso,paper9,Rafael Alonso
Yang-Chang_Hong,paper10,Yang-Chang Hong
Yang-Chang_Hong,paper10,Yang-Chang Hong
Lijuan_Li,paper10,Lijuan Li
Kwang-I_Yu,paper11,Kwang-I Yu
Christine_Parent,paper12,Christine Parent
Ajit_K._Patankar,paper12,Ajit K. Patankar
Valeria_De_Antonellis,paper13,Valeria De Antonellis
George_P._Copeland,paper14,George P. Copeland
George_P._Copeland,paper15,George P. Copeland
Jack_Milton,paper15,Jack Milton
Rodney_P._Zimmerman,paper16,Rodney P. Zimmerman
Doron_Rotem,paper16,Doron Rotem
Maurizio_Lenzerini,paper17,Maurizio Lenzerini
Algirdas_Avizienis,paper17,Algirdas Avizienis
Herman_Lam,paper18,Herman Lam
H._V._Jagadish,paper19,H. V. Jagadish
Silvana_Castano,paper19,Silvana Castano
Lijuan_Li,paper19,Lijuan Li
Christine_Parent,paper20,Christine Parent
Stanley_B._Zdonik,paper20,Stanley B. Zdonik
Algirdas_Avizienis,paper20,Algirdas Avizienis
Daniel_F._Lieuwen,paper21,Daniel F. Lieuwen
Doron_Rotem,paper22,Doron Rotem
Bharathi_Subramanian,paper23,Bharathi Subramanian
Ming-Chien_Shan,paper24,Ming-Chien Shan
Danilo_Montesi,paper25,Danilo Montesi
Lijuan_Li,paper25,Lijuan Li
